Date,Adj Close,Close,High,Low,Open,Volume
2022-04-18,61218.69140625,66700.0,67100.0,66100.0,66500.0,10119203
2022-04-19,61769.3671875,67300.0,68000.0,67000.0,67100.0,12959434
2022-04-20,61861.15234375,67400.0,67400.0,66500.0,67000.0,16693293
2022-04-21,62136.5078125,67700.0,68300.0,67500.0,67600.0,12847448
2022-04-22,61494.03125,67000.0,67300.0,66700.0,67200.0,11791478
2022-04-25,60851.54296875,66300.0,66700.0,66300.0,66500.0,11016474
2022-04-26,60667.98828125,66100.0,66700.0,66100.0,66400.0,12946923
2022-04-27,59658.390625,65000.0,65500.0,64900.0,65400.0,18122084
2022-04-28,59474.82421875,64800.0,65500.0,64500.0,65400.0,16895527
2022-04-29,61861.15234375,67400.0,67600.0,65000.0,65100.0,26190390
2022-05-02,61769.3671875,67300.0,67600.0,66500.0,66600.0,14106184
2022-05-03,61952.93359375,67500.0,68400.0,67300.0,67400.0,14168875
2022-05-04,62320.06640625,67900.0,68400.0,67500.0,68000.0,11505248
2022-05-06,61035.125,66500.0,67100.0,66500.0,67000.0,14356156
2022-05-10,60300.86328125,65700.0,66300.0,65300.0,65900.0,17235605
2022-05-11,60300.86328125,65700.0,66300.0,65200.0,65500.0,12330920
2022-05-12,59566.6015625,64900.0,65500.0,64900.0,65200.0,16414188
2022-05-13,61035.125,66500.0,66700.0,65200.0,65300.0,14551536
2022-05-16,60851.54296875,66300.0,67400.0,66100.0,67100.0,11937555
2022-05-17,62044.71484375,67600.0,67900.0,66600.0,66600.0,15680447
2022-05-18,62503.625,68100.0,68700.0,67600.0,68300.0,16486319
2022-05-19,61952.93359375,67500.0,67600.0,66500.0,66500.0,17073727
2022-05-20,62411.859375,68000.0,68400.0,67700.0,67800.0,12109671
2022-05-23,62320.06640625,67900.0,68800.0,67600.0,68800.0,13684088
2022-05-24,61035.125,66500.0,67700.0,66500.0,67500.0,15482576
2022-05-25,60943.33203125,66400.0,67100.0,65900.0,66700.0,15150490
2022-05-26,60484.43359375,65900.0,67200.0,65500.0,66300.0,15970890
2022-05-27,61035.125,66500.0,66900.0,66200.0,66700.0,11405555
2022-05-30,62136.5078125,67700.0,67800.0,66900.0,67500.0,14255484
2022-05-31,61861.15234375,67400.0,67500.0,66700.0,67500.0,24365002
2022-06-02,61218.69140625,66700.0,67000.0,66400.0,66600.0,14959443
2022-06-03,61310.46484375,66800.0,67300.0,66800.0,67200.0,8222883
2022-06-07,60117.29296875,65500.0,66400.0,65400.0,66200.0,19355755
2022-06-08,59933.734375,65300.0,65700.0,65300.0,65400.0,12483180
2022-06-09,59841.953125,65200.0,65200.0,64500.0,65100.0,25790725
2022-06-10,58557.00390625,63800.0,64400.0,63800.0,64000.0,22193552
2022-06-13,56996.703125,62100.0,62800.0,62100.0,62400.0,22157816
2022-06-14,56813.13671875,61900.0,62200.0,61100.0,61200.0,24606419
2022-06-15,55711.75390625,60700.0,61500.0,60200.0,61300.0,26811224
2022-06-16,55895.31640625,60900.0,61800.0,60500.0,61300.0,23394895
2022-06-17,54885.71484375,59800.0,59900.0,59400.0,59400.0,29053450
2022-06-20,53876.11328125,58700.0,59900.0,58100.0,59800.0,34111306
2022-06-21,53692.546875,58500.0,59200.0,58200.0,58700.0,25148109
2022-06-22,52866.50390625,57600.0,59100.0,57600.0,59000.0,23334687
2022-06-23,52682.9375,57400.0,58000.0,56800.0,57700.0,28338608
2022-06-24,53600.765625,58400.0,59100.0,57700.0,57900.0,23256103
2022-06-27,53967.89453125,58800.0,59900.0,58300.0,59000.0,18122236
2022-06-28,54518.58984375,59400.0,59500.0,58700.0,59200.0,13540538
2022-06-29,53559.13671875,58000.0,58800.0,58000.0,58500.0,14677138
2022-06-30,52635.70703125,57000.0,57600.0,57000.0,57200.0,18915142
2022-07-01,51896.96484375,56200.0,57500.0,55900.0,56900.0,24982097
2022-07-04,52728.05078125,57100.0,57400.0,55700.0,56100.0,17807126
2022-07-05,52820.3984375,57200.0,58200.0,57200.0,57600.0,14216539
2022-07-06,52081.64453125,56400.0,57300.0,56400.0,57300.0,16820461
2022-07-07,53743.828125,58200.0,58700.0,56300.0,56400.0,21322833
2022-07-08,54205.54296875,58700.0,59300.0,58200.0,58600.0,15339271
2022-07-11,54297.88671875,58800.0,59600.0,58700.0,59300.0,13042624
2022-07-12,53651.484375,58100.0,58700.0,58100.0,58600.0,9336061
2022-07-13,53559.13671875,58000.0,58600.0,58000.0,58300.0,10841315
2022-07-14,53097.421875,57500.0,58200.0,57400.0,57500.0,15067012
2022-07-15,55406.0078125,60000.0,60000.0,58100.0,58400.0,18685583
2022-07-18,57160.52734375,61900.0,62000.0,60500.0,60600.0,20832517
2022-07-19,56237.09765625,60900.0,61500.0,60200.0,61400.0,15248261
2022-07-20,55867.71875,60500.0,62100.0,60500.0,61800.0,16782238
2022-07-21,57068.1875,61800.0,61900.0,60700.0,61100.0,12291374
2022-07-22,56606.47265625,61300.0,62200.0,61200.0,61800.0,10261310
2022-07-25,56421.78515625,61100.0,61900.0,60800.0,60900.0,9193681
2022-07-26,56975.83984375,61700.0,61900.0,60800.0,60800.0,6597211
2022-07-27,57068.1875,61800.0,61900.0,61200.0,61300.0,7320997
2022-07-28,57160.52734375,61900.0,62600.0,61600.0,62300.0,10745302
2022-07-29,56698.8203125,61400.0,62600.0,61300.0,62400.0,15093120
2022-08-01,56606.47265625,61300.0,61700.0,60300.0,61000.0,13154816
2022-08-02,56975.83984375,61700.0,61900.0,61000.0,61200.0,13614895
2022-08-03,56606.47265625,61300.0,61600.0,61000.0,61600.0,10053861
2022-08-04,56791.16015625,61500.0,61800.0,61200.0,61700.0,9125439
2022-08-05,56791.16015625,61500.0,61900.0,61200.0,61700.0,9567620
2022-08-08,56144.75390625,60800.0,61400.0,60600.0,61400.0,11313150
2022-08-09,55406.0078125,60000.0,60700.0,59600.0,60600.0,18251170
2022-08-10,54574.91015625,59100.0,59200.0,58600.0,58900.0,18084349
2022-08-11,55313.66015625,59900.0,60000.0,59300.0,59600.0,15141941
2022-08-12,55590.703125,60200.0,60700.0,59400.0,59500.0,10786658
2022-08-16,56329.4375,61000.0,61600.0,60300.0,60500.0,15036727
2022-08-17,55775.3828125,60400.0,61200.0,60300.0,61100.0,9061518
2022-08-18,56791.16015625,61500.0,61900.0,60000.0,60300.0,16372754
2022-08-19,56237.09765625,60900.0,61600.0,60600.0,61400.0,6923679
2022-08-22,55406.0078125,60000.0,60400.0,59800.0,60300.0,8259865
2022-08-23,54574.91015625,59100.0,59600.0,59000.0,59000.0,9041629
2022-08-24,54482.57421875,59000.0,59500.0,59000.0,59200.0,8888486
2022-08-25,55128.98046875,59700.0,59700.0,59000.0,59200.0,5767902
2022-08-26,55406.0078125,60000.0,60900.0,59900.0,60300.0,9499995
2022-08-29,54113.203125,58600.0,58900.0,58600.0,58700.0,9841329
2022-08-30,54297.88671875,58800.0,59000.0,58300.0,58700.0,9690044
2022-08-31,55128.98046875,59700.0,59900.0,58200.0,58200.0,14203512
2022-09-01,53928.515625,58400.0,58900.0,58300.0,58700.0,14905777
2022-09-02,53097.421875,57500.0,58600.0,57500.0,58300.0,15040310
2022-09-05,52728.05078125,57100.0,57800.0,56800.0,57400.0,11425977
2022-09-06,52728.05078125,57100.0,57600.0,56900.0,57200.0,7503086
2022-09-07,51712.27734375,56000.0,56700.0,55900.0,56700.0,17384854
2022-09-08,51342.8984375,55600.0,56400.0,55600.0,56200.0,18000016
